Name,Internal name,Type,Description,Group name,Form field,Options
Average Monthly Orders,average_monthly_orders,number,Average Monthly Orders from a Restuarnt,companyinformation,TRUE,
Delivery Partners,delivery_partners,enumeration,List of Delivery Services that the Restaurant Uses,companyinformation,TRUE,"[{""label"":""UberEats"",""value"":""ubereats"",""displayOrder"":0,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""DoorDash"",""value"":""doordash"",""displayOrder"":1,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""GrubHub"",""value"":""grubhub"",""displayOrder"":2,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Postmates"",""value"":""postmates"",""displayOrder"":3,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Other"",""value"":""other"",""displayOrder"":4,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false}]"
Interested Services,interested_services,string,Services that the restuarnnt may be interested in,companyinformation,TRUE,
Number of Locations,number_of_locations,number,Number of Locations for Restaurant ,companyinformation,TRUE,
POS System,pos_system,enumeration,Type of POS System that the Restaurant Uses,companyinformation,TRUE,"[{""label"":""Toast"",""value"":""toast"",""displayOrder"":0,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Clover"",""value"":""clover"",""displayOrder"":1,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Square"",""value"":""square"",""displayOrder"":2,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""LightSpeed"",""value"":""lightspeed"",""displayOrder"":3,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""SpotOn"",""value"":""spoton"",""displayOrder"":4,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""QuPOS"",""value"":""qupos"",""displayOrder"":5,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Aloha"",""value"":""aloha"",""displayOrder"":6,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Xenial"",""value"":""xenial"",""displayOrder"":7,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""PAR"",""value"":""par"",""displayOrder"":8,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""NCR"",""value"":""ncr"",""displayOrder"":9,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Oracle"",""value"":""oracle"",""displayOrder"":10,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Other"",""value"":""other"",""displayOrder"":11,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false}]"
Restaurant Type,restaurant_type,enumeration,Type of Restaurant,companyinformation,TRUE,"[{""label"":""Dine In"",""value"":""dine_in"",""displayOrder"":0,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Fast Casual"",""value"":""fast_casual"",""displayOrder"":1,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Quick Service"",""value"":""quick_service"",""displayOrder"":2,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Ghost Kitchen"",""value"":""ghost_kitchen"",""displayOrder"":3,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Food Truck"",""value"":""food_truck"",""displayOrder"":4,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false},{""label"":""Other"",""value"":""other"",""displayOrder"":5,""doubleData"":0.0,""hidden"":false,""description"":"""",""readOnly"":false}]"
Company name,name,string,The name of the company or organization.,companyinformation,TRUE,
Company Name,company,string,Name of the contact's company. This can be set independently from the name property on the contact's associated company.,contactinformation,TRUE,
First Name,firstname,string,A contact's first name,contactinformation,TRUE,
Last Name,lastname,string,A contact's last name,contactinformation,TRUE,
Email,email,string,A contact's email address,contactinformation,TRUE,
Phone Number,phone,string,A contact's primary phone number,contactinformation,TRUE,
